pais,pais_en,confederacion,grupo,fifa_rank,fifa_puntos,elo,valor_mercado_meur,titulos,participaciones,finales,semifinales,altitud_casa_m,mejor_resultado
Francia,France,UEFA,I,3,1870.69,2062,1540,2,17,4,7,50,"Campeon (1998, 2018)"
Espana,Spain,UEFA,H,2,1873.87,2155,1275,1,17,1,2,650,"Campeon (2010)"
Inglaterra,England,UEFA,L,4,1827.05,2021,1320,1,17,1,3,30,"Campeon (1966)"
Portugal,Portugal,UEFA,K,5,1766.17,1986,1030,0,9,0,2,100,"Tercer puesto (1966)"
Alemania,Germany,UEFA,E,10,1735.77,1922,1010,4,21,8,13,100,"Campeon (1954, 1974, 1990, 2014)"
Paises Bajos,Netherlands,UEFA,F,8,1753.57,1944,847,0,12,3,5,0,"Subcampeon (1974, 1978, 2010)"
Belgica,Belgium,UEFA,G,9,1742.23,1888,549,0,15,0,2,50,"Tercer puesto (2018)"
Croacia,Croatia,UEFA,L,11,1714.87,1908,390,0,7,1,2,120,"Subcampeon (2018)"
Suiza,Switzerland,UEFA,B,19,1650.07,1885,338,0,13,0,0,400,"Cuartos (1934, 1938, 1954)"
Austria,Austria,UEFA,J,24,1597.41,1800,275,0,8,0,2,200,"Tercer puesto (1954)"
Noruega,Norway,UEFA,I,31,1557.44,1916,608,0,4,0,0,20,"Octavos (1998)"
Suecia,Sweden,UEFA,F,38,1509.79,1745,433,0,13,1,4,30,"Subcampeon (1958)"
Chequia,Czech Republic,UEFA,A,43,1490.00,1733,190,0,2,0,0,200,"Fase de grupos (2006, 2026)"
Bosnia y Herzegovina,Bosnia and Herzegovina,UEFA,B,74,1330.00,1591,150,0,2,0,0,500,"Fase de grupos (2014)"
Escocia,Scotland,UEFA,C,42,1503.34,1770,178,0,9,0,0,50,"Fase de grupos"
Turquia,Turkey,UEFA,D,22,1605.73,1816,470,0,3,0,1,100,"Tercer puesto (2002)"
Argentina,Argentina,CONMEBOL,J,1,1876.11,2113,825,3,19,6,6,25,"Campeon (1978, 1986, 2022)"
Brasil,Brazil,CONMEBOL,C,6,1765.86,1988,913,5,23,7,11,500,"Campeon (1958, 1962, 1970, 1994, 2002)"
Uruguay,Uruguay,CONMEBOL,H,16,1673.07,1892,409,2,15,2,5,40,"Campeon (1930, 1950)"
Colombia,Colombia,CONMEBOL,K,13,1698.35,1977,308,0,7,0,0,2640,"Cuartos (2014)"
Ecuador,Ecuador,CONMEBOL,E,23,1598.51,1935,379,0,5,0,0,2850,"Octavos (2006)"
Paraguay,Paraguay,CONMEBOL,D,40,1505.35,1833,158,0,9,0,0,140,"Cuartos (2010)"
Marruecos,Morocco,CAF,C,7,1755.44,1755,498,0,7,0,1,300,"Semifinal / 4o (2022)"
Senegal,Senegal,CAF,I,15,1685.24,1684,478,0,4,0,0,20,"Cuartos (2002)"
Egipto,Egypt,CAF,G,29,1562.37,1562,116,0,4,0,0,70,"Fase de grupos"
Argelia,Algeria,CAF,J,28,1571.04,1571,257,0,5,0,0,200,"Octavos (2014)"
Costa de Marfil,Ivory Coast,CAF,E,33,1540.87,1541,522,0,4,0,0,50,"Fase de grupos"
Tunez,Tunisia,CAF,F,46,1476.40,1476,70,0,7,0,0,10,"Fase de grupos"
Sudafrica,South Africa,CAF,A,56,1420.00,1518,49,0,4,0,0,1750,"Fase de grupos (1998, 2002, 2010)"
Cabo Verde,Cape Verde,CAF,H,70,1350.00,1578,55,0,1,0,0,30,"Debutante (2026)"
Ghana,Ghana,CAF,L,73,1335.00,1510,235,0,5,0,0,60,"Cuartos (2010)"
RD Congo,DR Congo,CAF,K,57,1415.00,1474,144,0,2,0,0,300,"Fase de grupos (1974, como Zaire)"
Japon,Japan,AFC,F,18,1661.58,1906,282,0,8,0,0,40,"Octavos (2002, 2010, 2018, 2022)"
Corea del Sur,South Korea,AFC,A,25,1591.63,1756,144,0,12,0,1,40,"Cuarto puesto (2002)"
Iran,Iran,AFC,G,21,1619.58,1764,33,0,7,0,0,1200,"Fase de grupos"
Arabia Saudita,Saudi Arabia,AFC,H,60,1400.00,1566,38,0,7,0,0,600,"Octavos (1994)"
Uzbekistan,Uzbekistan,AFC,K,54,1440.00,1718,71,0,1,0,0,450,"Debutante (2026)"
Jordania,Jordan,AFC,J,62,1390.00,1685,20,0,1,0,0,800,"Debutante (2026)"
Irak,Iraq,AFC,I,58,1410.00,1608,21,0,2,0,0,40,"Fase de grupos (1986)"
Catar,Qatar,AFC,B,51,1460.00,1423,20,0,2,0,0,10,"Fase de grupos (2022)"
Australia,Australia,AFC,D,27,1579.34,1775,75,0,7,0,0,30,"Octavos (2006, 2022)"
Mexico,Mexico,CONCACAF,A,14,1687.48,1868,197,0,18,0,0,2240,"Cuartos (1970, 1986)"
Estados Unidos,United States,CONCACAF,D,17,1671.24,1733,383,0,12,0,1,200,"Tercer puesto (1930)"
Canada,Canada,CONCACAF,B,30,1559.48,1793,205,0,3,0,0,80,"Fase de grupos (1986, 2022)"
Panama,Panama,CONCACAF,L,34,1539.15,1685,35,0,2,0,0,10,"Fase de grupos (2018)"
Haiti,Haiti,CONCACAF,C,84,1290.00,1532,56,0,2,0,0,30,"Fase de grupos (1974)"
Curazao,Curacao,CONCACAF,E,82,1295.00,1433,26,0,1,0,0,5,"Debutante (2026)"
Nueva Zelanda,New Zealand,OFC,G,86,1280.00,1585,36,0,3,0,0,20,"Fase de grupos (1982, 2010)"
